domain,"in_TI_URLhaus"
"42.55.84.178:56333",true
"42.232.231.61:43527",true
"112.248.127.216:36109",true
"172.86.90.22",true
"92.246.136.82",true
"gitlab.com",true
"at.devy3.ru",true
"64.176.180.238",true
"151.28.230.104:8443",true
"106.119.204.52:60002",true
"123.14.182.74:58414",true
"182.92.96.11:8888",true
"27.215.52.22:44008",true
"124.222.151.47:99",true
"117.235.123.73:45876",true
"q.bi0ic.ru",true
"as.devy3.ru",true
"an.devy3.ru",true
"1.fe1it.ru",true
"31.56.39.15",true
"125.44.244.127:35519",true
"110.183.21.123:59295",true
"201.77.146.239:55877",true
"27.221.247.115:48074",true
"39.64.170.186:44201",true
"am.devy3.ru",true
"112.248.187.26:40453",true
"123.4.209.39:57987",true
"42.232.234.121:48595",true
"178.16.53.7",true
"42.224.91.209:44955",true
"113.236.131.80:53023",true
"108.170.134.254:33740",true
"we.devy3.ru",true
"182.119.29.117:58330",true
"4revergreen.com",true
"webcre8.com",true
"115.58.144.31:36426",true
"196.190.195.28:58147",true
"182.127.127.98:39607",true
"182.126.122.176:48728",true
"42.227.203.63:50357",true
"123.14.111.96:44383",true
"221.14.189.54:36568",true
"115.51.57.70:49449",true
"182.112.30.243:52424",true
"up.ciqe8.ru",true
"123.132.159.180:34252",true
"182.127.100.107:48032",true
"115.50.1.63:35031",true
"27.215.49.28:58648",true
"61.53.151.252:56955",true
"182.117.70.201:36371",true
"222.139.100.117:37405",true
"125.47.70.14:37469",true
"42.225.199.154:35082",true
"61.53.95.47:51545",true
"to.ciqe8.ru",true
"42.180.44.65:51866",true
"42.238.241.238:59984",true
"115.56.67.138:48370",true
"61.53.140.213:38789",true
"go.fe1it.ru",true
"so.ciqe8.ru",true
"113.116.150.73:40621",true
"59.88.133.142:39075",true
"27.37.215.178:34390",true
"42.230.36.67:45340",true
"or.ciqe8.ru",true
"222.138.177.9:48383",true
"117.242.233.217:42391",true
"27.215.49.185:45517",true
"221.15.144.197:57437",true
"on.ciqe8.ru",true
"42.229.222.96:41528",true
"182.119.2.166:54757",true
"by.ty1un.ru",true
"of.buno8.ru",true
"60.18.68.118:36033",true
"115.52.66.75:45138",true
"182.117.29.108:40790",true
"182.116.118.224:52980",true
"123.13.33.165:43717",true
"119.179.255.46:44533",true
"124.234.202.92:40118",true
"27.204.193.91:59602",true
"112.237.8.67:34388",true
"123.14.112.127:59839",true
"112.252.166.218:36153",true
"219.159.244.138:39379",true
"no.buno8.ru",true
"123.7.152.126:49640",true
"42.5.53.244:43844",true
"219.155.228.181:54906",true
"182.121.129.62:46512",true
"27.215.51.58:44111",true
"115.55.112.163:42238",true
"42.59.246.240:51964",true
"61.52.156.85:34736",true
"123.11.241.80:38007",true
"42.56.151.161:42509",true
"222.138.232.77:47011",true
"123.11.15.64:33600",true
"191.241.143.54:56797",true
"60.23.72.139:59041",true
"182.117.41.74:42550",true
"182.126.118.71:39884",true
"182.127.41.232:37347",true
"md.cykugeu.ru",true
"me.buno8.ru",true
"61.53.150.192:50760",true
"125.41.95.119:49712",true
"113.236.116.128:41810",true
"123.8.82.121:55420",true
"115.49.64.148:45201",true
"180.190.238.10:44040",true
"182.127.44.238:48365",true
"119.179.252.143:39720",true
"42.86.171.173:45248",true
"as.ty1un.ru",true
"it.buno8.ru",true
"42.235.153.162:47819",true
"222.140.157.153:35895",true
"119.109.162.30:38058",true
"115.55.51.244:50860",true
"175.151.169.51:40139",true
"222.142.250.98:53992",true
"182.115.138.145:42699",true
"42.226.64.49:59776",true
"is.buno8.ru",true
"61.53.204.11:50085",true
"in.boku-0.ru",true
"200.59.88.231:60934",true
"42.239.255.200:34828",true
"wo.by3iq.ru",true
"if.boku-0.ru",true
"185.178.47.172:60149",true
"113.228.101.213:56245",true
"42.227.165.170:58431",true
"poppy.monster",true
"cloud-fiber.duckdns.org",true
"115.62.189.190:33114",true
"minepulse.pro",true
"42.180.15.62:34556",true
"he.boku-0.ru",true
"123.14.113.16:50566",true
"go.boku-0.ru",true
"do.boku-0.ru",true
"42.235.162.179:37961",true
"42.226.69.93:43889",true
"by.boku0.ru",true
"222.142.254.252:54987",true
"123.9.245.210:51746",true
"182.127.179.192:49903",true
"be.boku0.ru",true
"ihmmkvkaiwnilneauhfn.supabase.co",true
"at.boku0.ru",true
"196.251.69.226",true
"42.234.220.84:40697",true
"119.179.252.73:48675",true
"178.49.73.69:58087",true
"88.247.222.82:34256",true
"61.54.69.214:40839",true
"42.56.149.100:58273",true
"125.46.198.82:50976",true
"221.0.28.100:45565",true
"196.251.69.227",true
"27.37.224.70:53783",true
"as.boku0.ru",true
"kj.by3iq.ru",true
"an.boku0.ru",true
"123.190.23.57:50833",true
"l.bi3ux.ru",true
"209.54.102.137",true
"zpa.bi3ux.ru",true
"160.187.229.191",true
"103.252.89.226",true
"175.30.114.229:59776",true
"zu.wi9ik.ru",true
"mri.bi3ux.ru",true
"42.239.254.134:44620",true
"27.215.51.31:32997",true
"42.225.240.134:52624",true
"123.9.24.79:39895",true
"219.155.200.146:60425",true
"61.53.91.99:45495",true
"115.58.88.85:60832",true
"115.54.112.40:40930",true
"180.115.172.90:39908",true
"ha.bi3ux.ru",true
"115.50.44.181:51676",true
"hb.wi9ik.ru",true
"nl.qe3yn.ru",true
"182.122.238.97:54843",true
"119.116.169.202:37001",true
"182.119.110.79:34594",true
"106.59.96.93:47429",true
"103.253.18.140:46096",true
"blockchainnportfolio.com",true
"i.ibb.co",true
"frygzjyhtiunvhvnacif.supabase.co",true
"222.141.113.230:36432",true
"bbrlxwtkbgvpnpfykexu.supabase.co",true
"27.194.250.155:59562",true
"193.23.199.155",true
"www.hcsnet.com.br",true
"85.192.48.47",true
"176.65.149.34",true
"123.5.171.211:33756",true
"175.173.119.126:54720",true
"pru.qe3yn.ru",true
"pc.mo5un.ru",true
"ta.qe3yn.ru",true
"125.44.16.4:49951",true
"175.147.157.152:48409",true
"42.229.170.82:38865",true
"vex.qe3yn.ru",true
"jo.qe3yn.ru",true
"115.50.218.108:56344",true
"27.204.199.190:60370",true
"cy.fo1od.ru",true
"27.215.141.27:53904",true
"182.126.80.73:51840",true
"200.59.84.179:60984",true
"125.47.6.21:39331",true
"221.15.90.189:35477",true
"216.126.86.14:34719",true
"91.245.255.43:8765",true
"124.94.91.144:54104",true
"175.167.92.118:54066",true
"222.140.181.8:39081",true
"113.236.105.71:40994",true
"42.227.244.89:46222",true
"115.49.119.153:33242",true
"39.105.223.127:8080",true
"123.4.7.193:40096",true
"112.198.195.40:44666",true
"39.79.143.213:38084",true
"61.52.82.196:42981",true
"182.113.31.185:51572",true
"119.114.227.37:58221",true
"mv.mo5un.ru",true
"bti.fo1od.ru",true
"119.189.174.45:56731",true
"219.157.62.139:54587",true
"tr.ji1im.ru",true
"rq.fo1od.ru",true
"115.56.148.219:49870",true
"123.14.17.242:35010",true
"kali.free.idcfengye.com",true
"xal.fo1od.ru",true
"lx.ji1im.ru",true
"me.fo1od.ru",true
"182.112.96.111:52144",true
"120.86.71.32:37331",true
"222.142.211.32:33562",true
"115.48.148.52:41114",true
"by.xe3ax.ru",true
"125.47.202.116:50952",true
"it-ing.hr",true
"serralux.pt",true
"27.215.55.38:49456",true
"117.223.140.172:56593",true
"120.57.214.146:37761",true
"125.41.3.69:60401",true
"200.59.88.207:33664",true
"5.59.107.34:40565",true
"88.247.16.4:41211",true
"200.59.88.171:45126",true
"wrote-kernel-extend-designation.trycloudflare.com",true
"219.157.27.190:37843",true
"123.14.209.151:53485",true
"42.54.144.81:35586",true
"107.172.132.42",true
"yn.fa6eq.ru",true
"185.125.50.27",true
"pne.xe3ax.ru",true
"hostphpwindowsapp.duckdns.org",true
"175.147.199.147:46589",true
"42.232.82.236:50429",true
"42.225.9.162:40791",true
"115.63.182.48:33406",true
"60.212.39.8:53091",true
"115.63.9.81:59235",true
"221.235.42.130:46519",true
"101.108.250.167:57790",true
"va.xe3ax.ru",true
"175.168.203.49:54132",true
"36.49.26.195:60454",true
"39.74.87.167:49309",true
"115.55.156.244:33437",true
"kri.xe3ax.ru",true
"222.142.211.98:48683",true
"42.235.41.73:56972",true
"190.104.104.215:60225",true
"113.237.1.80:46476",true
"42.225.231.215:58844",true
"141.98.10.164",true
"96.44.159.144",true
"103-181-182-245.nevacloud.io",true
"a1.l4nggeng.my.id",true
"lm.mutao.in",true
"117.200.84.141:49412",true
"182.127.178.192:54976",true
"113.229.191.175:50588",true
"mylove88.top",true
"200.59.88.201:58013",true
"qd.fa6eq.ru",true
"du.xe3ax.ru",true
"42.48.133.2:38371",true
"182.112.34.104:33855",true
"microsoft-telemetry.cc",true
"182.126.92.137:53193",true
"42.56.141.194:48227",true
"anythingcanbethissub.chat1.store",true
"94.154.35.154",true
"27.222.50.49:36516",true
"182.126.108.202:51447",true
"123.7.152.201:34244",true
"61.53.72.252:52927",true
"42.227.179.9:59163",true
"117.255.124.248:46030",true
"188.120.174.173:3456",true
"42.239.254.172:48590",true
"tne.we4ex.ru",true
"42.54.204.239:48953",true
"42.231.107.74:38489",true
"188.38.3.30:54778",true
"125.45.66.13:40021",true
"200.69.61.237:54404",true
"182.123.249.59:58896",true
"182.126.119.31:43351",true
"42.6.64.156:34480",true
"42.234.232.197:53509",true
"1.181.227.71:56364",true
"113.236.154.254:38948",true
"182.113.200.30:35811",true
"117.209.95.215:44939",true
"mox.we4ex.ru",true
"115.62.59.7:50895",true
"27.217.214.249:53235",true
"176.65.148.234",true
"182.116.89.159:59448",true
"lv.we4ex.ru",true
"200.59.88.238:54613",true
"qra.we4ex.ru",true
"zi.we4ex.ru",true
"42.85.100.111:52589",true
"182.121.9.112:35493",true
"115.48.160.180:58941",true
"keen.vudeh0ae3.ru",true
"mro.cubaqay.ru",true
"115.50.69.54:43419",true
"calm.vudeh0ae3.ru",true
"125.41.222.153:58154",true
"223.151.143.212:50708",true
"42.52.194.194:42121",true
"112.196.11.202:55482",true
"182.121.11.120:40998",true
"77.247.88.68:38798",true
"60.23.188.29:38246",true
"175.148.203.38:34443",true
"182.121.10.116:59002",true
"115.49.2.46:50149",true
"wise.jibiw8aa5.ru",true
"125.42.26.192:46935",true
"tall.jibiw8aa5.ru",true
"za.cubaqay.ru",true
"112.248.0.251:32792",true
"115.59.89.92:55913",true
"221.214.197.108:50879",true
"42.55.114.32:52574",true
"42.235.99.218:45580",true
"lean.jibiw8aa5.ru",true
"182.113.204.64:46970",true
"125.43.33.199:53663",true
"219.156.172.39:58238",true
"cute.jibiw8aa5.ru",true
"42.53.62.243:53711",true
"115.50.53.37:51463",true
"rich.jibiw8aa5.ru",true
"182.127.152.142:39325",true
"dear.kuryc7yy1.ru",true
"200.59.88.113:48942",true
"123.12.101.90:54234",true
"124.132.131.75:45185",true
"219.155.201.6:59744",true
"221.15.18.253:46930",true
"219.157.212.98:39498",true
"222.140.64.166:58306",true
"115.62.73.47:39078",true
"39.71.18.244:44469",true
"foundationforever.com",true
"116.138.95.181:43360",true
"85.105.76.45:49095",true
"123.9.241.141:49968",true
"123.14.90.224:44756",true
"125.47.85.1:59875",true
"42.87.191.113:59358",true
"42.53.255.1:59549",true
"neat.kuryc7yy1.ru",true
"kli.sojokiy.ru",true
"61.52.77.123:59211",true
"42.6.184.42:59973",true
"112.93.139.104:37596",true
"112.248.101.153:38202",true
"182.121.158.210:54917",true
"115.58.135.36:53992",true
"123.5.175.48:48862",true
"222.142.247.221:53992",true
"124.94.173.35:52803",true
"58.45.56.120:51432",true
"115.50.250.216:35721",true
"113.230.52.242:50975",true
"115.60.223.109:34999",true
"42.227.176.53:43787",true
"125.41.6.83:57032",true
"vast.kuryc7yy1.ru",true
"79.106.231.174:48440",true
"182.121.235.62:48943",true
"171.109.157.37:51264",true
"125.44.58.152:56117",true
"182.119.106.36:49777",true
"tiny.kuryc7yy1.ru",true
"pink.kuryc7yy1.ru",true
"qm.sojokiy.ru",true
"115.55.20.154:38683",true
"42.226.70.6:39868",true
"222.139.205.86:60745",true
"27.219.122.80:47152",true
"a.dasurie36.ru",true
"l.dasurie36.ru",true
"vex.naberui.ru",true
"200.59.86.182:56110",true
"200.59.83.32:38551",true
"61.52.63.172:43948",true
"n.wofaraa29.ru",true
"112.238.194.60:60227",true
"hl.naberui.ru",true
"g.kilut4ou8.ru",true
"117.209.83.186:48362",true
"123.9.240.65:50187",true
"60.212.124.165:52687",true
"222.140.133.136:57720",true
"182.124.174.178:56371",true
"e.kilut4ou8.ru",true
"anydeesk.ink",true
"ucfce6958ec89bab3c337ec2560e.dl.dropboxusercontent.com",true
"59.182.146.148:36781",true
"rka.qisytui.ru",true
"s.kilut4ou8.ru",true
"yn.qisytui.ru",true
"t.kilut4ou8.ru",true
"182.122.172.122:43029",true
"on.kilut4ou8.ru",true
"42.58.217.53:56603",true
"115.59.30.122:39136",true
"bo.gunim5yi8.ru",true
"42.234.235.128:49744",true
"125.43.4.33:33766",true
"115.55.163.203:50649",true
"61.52.177.171:44991",true
"mta.sapafou.ru",true
"pe.gunim5yi8.ru",true
"wd.gunim5yi8.ru",true
"dr.sapafou.ru",true
"222.142.202.122:47489",true
"61.52.87.219:48137",true
"222.95.25.129:55985",true
"182.127.6.97:38861",true
"39.79.148.112:33837",true
"91.239.240.25:38016",true
"mtmra.com",true
"115.55.58.44:53496",true
"2908.photolives.info",true
"te.gunim5yi8.ru",true
"piv.laqygye.ru",true
"star.gunim5yi8.ru",true
"176.65.148.100",true
"221.15.189.220:44806",true
"221.13.232.51:57904",true
"175.174.91.114:54916",true
"200.59.88.217:59036",true
"124.94.203.123:40056",true
"61.52.115.196:53485",true
"219.155.225.17:54384",true
"42.235.161.119:47108",true
"deep.lilek4au2.ru",true
"219.157.25.189:58255",true
"luck.pykokiu43.ru",true
"gx.laqygye.ru",true
"zod.wofelee.ru",true
"fj.wofelee.ru",true
"bet.pykokiu43.ru",true
"42.87.245.35:39927",true
"182.122.233.42:55084",true
"180.191.34.171:41571",true
"182.117.51.237:42749",true
"also.pykokiu43.ru",true
"115.55.220.109:45340",true
"39.74.28.207:57481",true
"42.238.167.96:50343",true
"xrp.dasurie36.ru",true
"md.rexykye2.ru",true
"125.41.0.88:39201",true
"59.39.131.122:44797",true
"115.55.203.207:50426",true
"42.55.3.30:52269",true
"115.57.190.124:34594",true
"123.11.206.158:51615",true
"182.113.214.32:39440",true
"124.131.159.40:60417",true
"ks.rawimoi.ru",true
"180.190.189.204:54025",true
"42.227.134.32:57067",true
"115.55.219.247:39607",true
"123.10.140.204:56147",true
"200.59.83.90:34653",true
"123.10.34.91:52624",true
"144.48.121.4:54291",true
"112.248.116.212:59314",true
"113.231.251.25:56629",true
"61.53.75.167:51894",true
"218.248.44.253:36356",true
"42.52.189.70:40887",true
"170.233.57.187:34665",true
"117.205.161.91:59417",true
"115.56.66.23:48370",true
"182.115.138.200:42699",true
"115.58.132.187:56456",true
"61.52.35.168:50976",true
"42.4.41.89:59317",true
"42.55.187.40:56941",true
"gianfranco.great-site.net",true
"patrickhicks.org",true
"lowkee.lovestoblog.com",true
"115.48.2.154:37089",true
"katyache.com",true
"f-capture.com",true
"119.117.190.222:55810",true
"howtianxxx.xo.je",true
"andrefelipedonascime1756166725866.0531865.meusitehostgator.com.br",true
"42.6.202.220:56247",true
"tamarindglobal.ct.ws",true
"112.253.122.239:44646",true
"42.235.64.187:55269",true
"42.55.14.202:59796",true
"115.61.16.232:42647",true
"boekportret-nl.gt.tc",true
"testinnew2025.lovestoblog.com",true
"91.143.171.155:46518",true
"124.234.181.224:53526",true
"fda.sa.com",true
"tildaras.shop",true
"125.42.30.129:36472",true
"115.63.147.150:40496",true
"176.37.188.242:46175",true
"60.17.92.222:49409",true
"universitariaglobal.com",true
"bafybeidh7qmb6ck3xgi2fkuqsoxoc6afxue5nw64fzmjiu35xkkkvy6yqi.ipfs.dweb.link",true
"117.209.91.135:57913",true
"221.1.156.28:50775",true
"175.148.87.121:37791",true
"42.235.103.61:55969",true
"ups-supp.com",true
"113.238.161.125:53622",true
"103.184.75.91:60409",true
"123.14.215.142:48293",true
"115.50.33.158:44468",true
"202.71.14.75",true
"170.80.0.224:37404",true
"219.155.223.145:43000",true
"42.239.77.116:59135",true
"vmi2773385.contaboserver.net",true
"45.153.34.7",true
"117.192.121.192:42452",true
"windefender.best",true
"178.17.58.0x31",true
"115.55.61.76:33876",true
"113.94.31.33:40043",true
"125.47.87.172:59875",true
"42.57.38.251:41667",true
"115.58.12.73:52625",true
"123.14.149.155:53201",true
"117.216.184.161:51567",true
"117.205.162.22:34412",true
"221.14.175.43:42981",true
"74.83.53.142:3583",true
"42.53.52.77:51831",true
"120.28.214.81:37709",true
"42.239.190.85:51111",true
"175.165.75.88:37775",true
"123.11.162.43:60151",true
"115.56.144.5:37701",true
"42.55.17.245:57986",true
"182.113.227.180:36521",true
"42.6.187.7:43895",true
"115.63.13.212:48721",true
"182.127.190.5:46896",true
"182.117.29.114:34172",true
"117.209.0.147:51583",true
"182.127.52.187:59466",true
"124.29.225.50:49990",true
"42.5.240.203:58520",true
"219.155.211.80:45863",true
"85.105.76.45:46506",true
"88.250.184.107:36272",true
"116.138.189.241:58830",true
"115.61.116.57:39155",true
"61.52.156.181:49217",true
"117.245.7.142:37794",true
"219.155.226.61:35519",true
"42.235.101.68:35697",true
"61.53.217.40:60426",true
"42.233.107.96:39081",true
"182.119.140.62:40935",true
"59.92.171.161:45470",true
"222.136.155.72:35545",true
"123.14.13.9:36707",true
"222.139.39.40:52411",true
"182.121.46.157:56344",true
"117.219.134.175:53691",true
"117.209.11.39:45817",true
"175.149.105.50:49155",true
"115.52.244.126:55611",true
"39.81.155.190:59769",true
"123.12.30.137:49262",true
"117.209.4.14:50526",true
"42.53.76.164:46672",true
"110.183.30.37:53731",true
"219.155.201.231:59744",true
"216.8.224.147:45553",true
"222.136.21.154:49294",true
"182.121.229.149:54587",true
"221.3.87.141:47595",true
"200.59.83.86:58949",true
"182.113.196.194:48521",true
"42.233.105.235:55543",true
"191.241.143.35:58817",true
"61.54.253.226:47835",true
"112.198.132.186:47659",true
"61.53.14.3:40791",true
"221.14.17.242:50756",true
"61.52.39.206:47698",true
"182.113.39.90:55352",true
"175.148.117.193:46279",true
"61.52.45.111:59696",true
"219.155.234.225:43693",true
"42.234.178.235:34115",true
"124.163.121.144:48720",true
"219.156.174.190:35299",true
"222.137.41.58:60698",true
"36.163.57.170:44564",true
"113.237.81.192:53840",true
"182.126.114.95:41713",true
"182.115.143.69:60041",true
"42.228.43.140:54557",true
"ql.dapusey.ru",true
"60.216.246.187:48976",true
"112.231.147.51:41679",true
"182.113.46.31:34369",true
"115.49.4.112:43365",true
"vk.denumeu.ru",true
"115.53.244.61:48943",true
"115.48.42.11:34232",true
"182.122.109.183:51658",true
"aftermaths-attraction.com",true
"rfwklaw.com",true
"219.156.3.110:37777",true
"123.5.148.210:34453",true
"42.224.14.161:44955",true
"123.232.160.227:36050",true
"182.114.196.98:42152",true
"125.45.156.72:49331",true
"42.5.33.9:47376",true
"200.59.88.3:42260",true
"125.41.211.124:54507",true
"34.19.22.113",true
"117.72.117.43",true
"101.34.66.77:50001",true
"8.147.232.28:39001",true
"117.50.213.233:3389",true
"8.155.165.8",true
"121.40.18.128:8888",true
"121.43.244.221:7777",true
"156.224.139.59:8088",true
"114.132.169.168",true
"47.83.163.254:8888",true
"221.132.29.137",true
"119.29.2.30",true
"43.153.26.136:7778",true
"1.95.135.26:8888",true
"124.222.47.15:8090",true
"121.4.24.78:8123",true
"138.197.83.165",true
"27.37.112.146:44157",true
"150.116.153.205:8862",true
"2.189.106.249:61451",true
"203.232.235.30:49872",true
"149.87.89.234:12837",true
"82.53.18.178:9413",true
"94.28.152.206:46981",true
"191.36.147.103:46841",true
"103.120.133.144:21509",true
"185.138.176.186:46673",true
"197.232.69.189:39403",true
"37.60.211.2:51452",true
"114.226.137.27:9946",true
"24.152.172.234:3463",true
"177.87.1.78:61957",true
"218.161.76.225:32905",true
"175.214.227.21:50962",true
"201.46.22.189:11754",true
"120.157.159.22:3211",true
"113.188.100.56:8081",true
"120.157.159.22:3210",true
"27.75.66.115:8081",true
"86.132.64.128:81",true
"27.75.66.115:8080",true
"92.41.157.90:8001",true
"201.143.21.31:8080",true
"113.180.194.39",true
"102.248.12.238:8081",true
"14.236.188.243:8080",true
"113.188.100.56:8082",true
"120.157.85.38:86",true
"120.157.85.38:85",true
"123.209.99.197:85",true
"81.151.49.197:65003",true
"81.151.49.197:65002",true
"178.50.249.155:9303",true
"178.50.249.155:9301",true
"178.50.249.155:9302",true
"81.151.49.197:65001",true
"81.151.49.197:65004",true
"91.80.150.96",true
"83.224.138.6",true
"83.224.131.105",true
"42.6.60.237:43303",true
"125.45.55.119:52433",true
"113.228.62.174:56715",true
"60.23.159.27:56219",true
"117.195.99.138:41195",true
"175.148.86.254:50017",true
"182.121.239.80:59456",true
"182.121.134.52:58151",true
"218.16.164.254:55791",true
"124.94.146.117:49344",true
"216.244.203.24:45717",true
"27.215.55.25:36273",true
"39.86.15.212:53124",true
"115.55.201.155:54430",true
"42.230.55.17:42641",true
"112.248.101.130:49121",true
"27.215.48.151:41481",true
"182.120.163.167:33209",true
"117.80.109.137:38962",true
"115.48.161.167:58941",true
"ms-team-ping4.com",true
"ms-team-ping3.com",true
"ms-team-ping1.com",true
"ms-team-ping6.com",true
"ms-team-ping2.com",true
"ms-team-ping5.com",true
"ms-team-ping9.com",true
"ms-team-ping8.com",true
"ms-team-ping7.com",true
"ms-team-ping10.com",true
"123.12.186.33:42603",true
"182.127.103.24:36432",true
"119.109.138.198:52864",true
"42.231.95.136:43806",true
"182.121.229.67:33756",true
"120.28.144.161:33440",true
"115.55.128.127:57702",true
"42.239.246.144:60832",true
"200.59.84.33:55175",true
"115.50.216.163:45286",true
"219.155.237.42:58896",true
"best.zyrupoe.ru",true
"118.232.137.101:45448",true
"125.42.120.143:49814",true
"202.111.130.141:52451",true
"123.14.246.146:52584",true
"198.98.59.161",true
"222.142.253.55:58550",true
"117.220.60.239:52430",true
"161.97.106.129",true
"60.216.240.40:42959",true
"123.5.159.53:36190",true
"222.142.198.110:47489",true
"2.249.142.93:41683",true
"115.49.228.253:59846",true
"42.224.124.243:55275",true
"182.112.28.39:51612",true
"hs.fypufea.ru",true
"182.117.78.21:49712",true
"110.77.221.31:43802",true
"113.169.214.245:53425",true
"36.158.74.30:34083",true
"123.9.114.93:36796",true
"heuang.unaux.com",true
"61.53.141.98:43739",true
"115.50.152.229:53475",true
"75.180.21.218:35337",true
"222.127.170.84:56244",true
"222.140.120.138:58306",true
"38.52.142.194:50898",true
"42.230.44.236:56955",true
"115.56.144.113:34580",true
"24.96.130.119:42225",true
"shinobisistema.ro",true
"dmoneii.com",true
"119.117.164.217:38846",true
"77.90.153.136",true
"125.40.122.171:47298",true
"115.61.18.15:38348",true
"115.56.171.56:35095",true
"175.146.154.55:37207",true
"123.11.77.177:33600",true
"182.112.31.77:57870",true
"tiv.lizusey.ru",true
"42.227.1.109:43074",true
"182.117.49.93:43454",true
"42.236.221.32:50570",true
"200.69.61.236:48835",true
"ym.lizusey.ru",true
"120.60.230.72:37048",true
"112.242.143.56:35990",true
"115.52.115.48:35742",true
"182.127.128.127:39158",true
"182.113.201.123:43881",true
"123.12.229.16:44953",true
"200.59.88.247:45461",true
"125.45.60.104:56745",true
"182.114.195.127:43787",true
"lup.gowuhei.ru",true
"182.116.95.14:41067",true
"182.116.83.151:49951",true
"dr.gowuhei.ru",true
"115.59.16.159:56371",true
"219.157.29.33:55269",true
"171.8.87.164:51879",true
"60.22.247.111:50672",true
"115.58.94.68:33753",true
"38.14.254.231:65512",true
"182.121.228.91:40425",true
"42.227.247.172:46222",true
"42.237.26.224:47014",true
"123.133.19.3:52184",true
"115.50.230.126:56207",true
"60.23.198.176:34439",true
"123.188.4.183:35442",true
"vex.zyrupoe.ru",true
"113.239.121.237:51137",true
"27.217.166.254:59593",true
"125.43.248.74:34152",true
"182.117.70.2:50700",true
"kl.zyrupoe.ru",true
"185.97.113.40:33250",true
"60.214.18.75:34042",true
"175.168.206.170:39262",true
"123.12.26.24:56972",true
"222.141.127.80:50972",true
"117.205.174.132:51974",true
"117.198.207.90:33410",true
"42.239.157.247:50066",true
"mri.jozotea.ru",true
"27.217.161.38:33865",true
"61.52.219.172:41767",true
"182.121.159.61:43584",true
"qx.jozotea.ru",true
"61.53.133.244:46873",true
"115.55.229.38:49400",true
"14.228.197.82:54792",true
"go.pemi9cai6.ru",true
"178.16.52.103",true
"196.251.117.150",true
"42.57.36.199:41629",true
"115.63.13.174:47082",true
"91.108.241.80:5554",true
"123.9.194.35:54917",true
"113.239.113.218:40994",true
"219.156.103.202:36568",true
"219.157.214.145:35352",true
"45.125.66.89",true
"store-na-phx-1.gofile.io",true
"117.199.170.221:41195",true
"191.241.143.13:33278",true
"27.210.235.151:52660",true
"115.55.132.139:46958",true
"219.155.193.188:48549",true
"125.40.74.152:53110",true
"59.38.94.155:35560",true
"36.70.226.225:51494",true
"123.14.87.99:44756",true
"221.229.42.195:34246",true
"222.134.163.58:42857",true
"42.239.224.104:44277",true
"61.163.129.214:52035",true
"39.74.37.249:60680",true
"42.224.25.104:48789",true
"200.59.83.67:57661",true
"115.63.183.188:33406",true
"60.23.78.77:48409",true
"115.55.117.98:42238",true
"110.183.23.86:38945",true
"120.61.207.112:48204",true
"182.120.32.218:50952",true
"125.41.221.118:38810",true
"182.123.211.238:57252",true
"115.56.103.223:41157",true
"115.55.59.44:38016",true
"39.90.148.42:35857",true
"222.135.220.236:38401",true
"182.113.46.38:55352",true
"200.59.86.12:48674",true
"221.15.255.227:52411",true
"221.13.232.165:57904",true
"119.179.79.166:35150",true
"115.49.234.211:49406",true
"182.240.8.227:24264",true
"39.74.88.102:52073",true
"42.85.167.11:40407",true
"42.229.216.220:49363",true
"184.70.122.98:58089",true
"182.121.159.135:44882",true
"117.251.166.167:36960",true
"125.47.211.55:48591",true
"115.52.31.103:42084",true
"61.52.103.116:57565",true
"61.54.69.93:57262",true
"115.55.179.82:50022",true
"123.9.68.178:44926",true
"125.44.41.185:34109",true
"150.40.118.103",true
"47.236.16.56:60118",true
"103.127.227.88:37316",true
"123.129.130.193:56352",true
"gla.niwunae.ru",true
"115.59.24.68:52005",true
"119.109.128.192:46810",true
"42.225.229.11:33562",true
"101.65.34.46:55753",true
"60.23.154.116:57861",true
"125.41.8.94:49870",true
"115.50.132.224:51089",true
"113.229.4.62:54760",true
"185.229.32.187",true
"219.157.235.128:38858",true
"42.224.21.27:37961",true
"ffclive.com",true
"116.138.96.155:47164",true
"182.122.136.126:54234",true
"221.202.21.251:32855",true
"zu.niwunae.ru",true
"116.139.171.49:47606",true
"117.204.166.246:48430",true
"115.56.157.182:60129",true
"191.241.143.22:57849",true
"123.10.8.106:40667",true
"200.59.88.176:58736",true
"125.43.27.232:43677",true
"182.113.47.17:48590",true
"kro.sehamyu.ru",true
"42.227.202.100:46027",true
"200.59.88.237:59752",true
"218.63.249.243:47429",true
"123.14.151.4:45337",true
"42.234.181.17:52684",true
"60.23.226.46:50118",true
"pub-6f7fb0d0ae0f40fbad68520fce393d92.r2.dev",true
"200.59.88.187:48765",true
"va.sehamyu.ru",true
"219.157.26.103:58255",true
"42.178.93.157:42348",true
"42.234.232.18:39201",true
"219.155.220.41:43000",true
"42.227.191.65:39722",true
"61.54.61.234:57240",true
"42.229.161.183:45441",true
"123.14.36.153:48701",true
"175.175.1.91:54720",true
"115.50.94.67:33239",true
"192.3.229.231:58888",true
"115.60.249.39:50566",true
"sne.dovagua.ru",true
"144.48.121.4:50128",true
"185.198.234.215",true
"5.133.102.252",true
"60.21.172.10:39426",true
"jl.dovagua.ru",true
"zod.fypufea.ru",true
