domain,"in_TI_URLhaus"
"112.242.2.136:35773",true
"36.163.57.158:55622",true
"ve.htif.ru",true
"113.238.15.184:59041",true
"202.169.234.56:39181",true
"123.188.94.35:42482",true
"115.50.31.103:41789",true
"27.213.123.213:56236",true
"87.248.150.68:85",true
"182.121.189.81:58734",true
"61.53.193.163:50871",true
"ff.gwut.ru",true
"42.226.67.192:37992",true
"222.137.144.5:34134",true
"w4.h-214.ru",true
"221.1.224.168:36726",true
"rk8.q-083.ru",true
"r.gwut.ru",true
"42.58.118.86:58667",true
"d.h-214.ru",true
"60.18.108.160:36428",true
"kz.gwut.ru",true
"125.41.92.127:39955",true
"115.57.116.167:52618",true
"182.113.1.198:46258",true
"qz9.m-754.ru",true
"dd.gwut.ru",true
"xq0.7o3u8.ru",true
"180.191.32.197:39906",true
"110.39.226.65:43696",true
"125.105.203.195:53569",true
"v2.m-754.ru",true
"jd.gjat.ru",true
"c5.7o3u8.ru",true
"70.70.153.114:33459",true
"115.57.83.233:34477",true
"115.55.176.221:45587",true
"222.137.198.85:34918",true
"182.121.95.23:44235",true
"42.224.28.195:37826",true
"hz.gjat.ru",true
"115.49.76.90:57711",true
"39.87.31.66:58230",true
"14.212.192.63:46961",true
"188.38.3.30:53984",true
"115.58.146.101:47233",true
"l.7o3u8.ru",true
"115.48.162.186:58941",true
"42.238.44.20:36261",true
"pm.gjat.ru",true
"42.6.33.116:43303",true
"113.237.99.250:59856",true
"200.59.85.196:57699",true
"42.239.169.237:36585",true
"yh.gjat.ru",true
"219.155.208.91:57014",true
"200.59.88.126:40603",true
"182.116.117.125:36828",true
"125.44.41.177:46763",true
"qm9.6y0u1.ru",true
"sb.fjot.ru",true
"112.229.195.109:41548",true
"u1.6y0u1.ru",true
"xm.fjot.ru",true
"zr.fjot.ru",true
"k.m-754.ru",true
"27.215.53.123:37415",true
"175.107.12.59:32854",true
"42.177.198.173:35128",true
"ia.fjot.ru",true
"h.6y0u1.ru",true
"ag.dgod.ru",true
"45.89.105.44",true
"61.176.177.191:59528",true
"59.183.122.53:35047",true
"115.48.146.210:35332",true
"pz8.9a9o8.ru",true
"ed.dgod.ru",true
"42.224.6.108:46049",true
"w4.9a9o8.ru",true
"vi.dgod.ru",true
"119.186.204.136:34824",true
"d.9a9o8.ru",true
"pe.dgod.ru",true
"125.40.147.204:56830",true
"rk1.6u3o9.ru",true
"dl.bxof.ru",true
"42.228.33.144:39171",true
"119.186.204.128:38855",true
"115.56.148.238:47868",true
"v5.k-342.ru",true
"jm.bxof.ru",true
"a2.6u3o9.ru",true
"eg.bxof.ru",true
"182.126.89.236:59820",true
"ll.bxof.ru",true
"t.6u3o9.ru",true
"k3x.s-537.ru",true
"hl.bwag.ru",true
"xq7.9i1e6.ru",true
"222.137.194.26:43035",true
"182.113.32.202:37435",true
"uo.bwag.ru",true
"r.s-537.ru",true
"ml.n-44-s.ru",true
"60.16.191.59:48565",true
"m9.9i1e6.ru",true
"182.126.82.102:47376",true
"115.56.57.144:60325",true
"k.9i1e6.ru",true
"hd.n-44-s.ru",true
"116.138.188.120:59794",true
"wq9.n-585.ru",true
"vu.n-44-s.ru",true
"ty3.62xm.ru",true
"mz.n-44-s.ru",true
"c7.n-585.ru",true
"115.50.65.115:42324",true
"kw.h-73-n.ru",true
"p0.62xm.ru",true
"tq1.s-819.ru",true
"th.h-73-n.ru",true
"222.138.116.33:52059",true
"31.140.209.157:54704",true
"110.37.43.189:34439",true
"61.3.137.173:56815",true
"123.11.11.62:58327",true
"e.62xm.ru",true
"yr.h-73-n.ru",true
"216.244.203.24:49460",true
"b2.s-819.ru",true
"113.94.31.30:40043",true
"wz8.06hm.ru",true
"rv.h-73-n.ru",true
"x.s-819.ru",true
"eq.g-69-p.ru",true
"h1.06hm.ru",true
"bn.g-69-p.ru",true
"182.122.198.129:60134",true
"aq3.b-395.ru",true
"pb.g-69-p.ru",true
"115.58.84.184:54725",true
"27.37.106.249:52057",true
"200.59.88.131:44145",true
"219.157.173.232:39331",true
"m8.b-395.ru",true
"ny.g-04-s.ru",true
"k.06hm.ru",true
"cu.g-04-s.ru",true
"87.248.139.217",true
"196.251.80.5",true
"180.249.78.61:54611",true
"121.127.34.118",true
"196.251.118.144",true
"aa9.23df.ru",true
"qd.g-04-s.ru",true
"115.49.64.197:42540",true
"uk.g-04-s.ru",true
"201.46.91.81:3482",true
"119.99.182.223:57499",true
"120.28.169.156:42117",true
"42.235.184.159:58309",true
"119.114.240.51:47275",true
"ma.f-42-s.ru",true
"z.b-395.ru",true
"v2.23df.ru",true
"115.49.209.195:35881",true
"oc.f-42-s.ru",true
"182.126.91.15:54965",true
"g.23df.ru",true
"gs.f-42-s.ru",true
"185.50.148.169:38457",true
"221.15.143.200:51425",true
"ic.f-42-s.ru",true
"42.224.169.103:52356",true
"42.58.216.166:56603",true
"qk2.08jm.ru",true
"my.f-05-t.ru",true
"bt7.10tw.ru",true
"120.28.197.166:54883",true
"sj.f-05-t.ru",true
"200.59.84.132:42608",true
"110.37.121.204:39664",true
"113.238.188.48:43089",true
"wc.f-05-t.ru",true
"m3.10tw.ru",true
"ag.f-05-t.ru",true
"110.39.238.82:39472",true
"39.89.148.29:42856",true
"stteresaagency.com",true
"z.10tw.ru",true
"sq.d-09-r.ru",true
"wl.steelkendo.com",true
"200.59.84.52:34737",true
"125.43.248.151:59485",true
"xteam.space",true
"62.60.226.168",true
"tqfnwgq.com",true
"42.235.48.52:35792",true
"mail.middleofearth.kz",true
"120.48.50.33:8888",true
"115.190.127.112:83",true
"178.16.54.175",true
"chrome1update.shop",true
"94.154.35.25",true
"188.93.233.12",true
"36.77.75.242:52638",true
"103.164.117.74:42924",true
"103.178.17.214:7121",true
"14.236.119.70:8080",true
"120.157.143.107:85",true
"178.50.58.232:9301",true
"113.184.21.251:10004",true
"222.246.76.232:6005",true
"94.44.21.195:8080",true
"189.131.181.10:5986",true
"82.57.151.4:3067",true
"93.130.129.131:8080",true
"u5.08jm.ru",true
"gr.d-09-r.ru",true
"c5.22jk.ru",true
"222.142.202.230:39682",true
"in.armlessmatrix.com",true
"l.22jk.ru",true
"kz.d-09-r.ru",true
"r.08jm.ru",true
"83.219.1.198:46458",true
"112.248.107.26:46456",true
"42.52.111.178:47606",true
"ai.d-09-r.ru",true
"qm9.03mr.ru",true
"222.138.232.151:48004",true
"125.44.244.87:35519",true
"119.115.114.99:38937",true
"112.248.61.244:45788",true
"216.68.110.29:2361",true
"182.114.197.3:56556",true
"u1.03mr.ru",true
"kp.z99l.ru",true
"123.130.30.165:56080",true
"h.03mr.ru",true
"zj.z99l.ru",true
"pz8.99jn.ru",true
"uv.z99l.ru",true
"mq.z99l.ru",true
"w4.99jn.ru",true
"fx.z15d.ru",true
"d.99jn.ru",true
"gg.z15d.ru",true
"110.37.59.113:59783",true
"191.241.143.74:34994",true
"59.97.178.240:58123",true
"rk1.42wd.ru",true
"dy.z15d.ru",true
"kh.z15d.ru",true
"42.180.9.82:58830",true
"182.112.4.187:45329",true
"117.209.93.110:51856",true
"a2.42wd.ru",true
"125.41.3.50:34093",true
"rd.x73r.ru",true
"27.216.88.221:44978",true
"115.58.10.164:34195",true
"200.59.84.179:43334",true
"t.42wd.ru",true
"xn.x73r.ru",true
"xq7.08jj.ru",true
"lg.x73r.ru",true
"42.239.112.100:42859",true
"222.139.87.27:40697",true
"m9.08jj.ru",true
"te.x73r.ru",true
"182.126.117.232:54325",true
"200.59.88.3:33267",true
"221.200.100.175:46497",true
"120.28.218.112:39669",true
"123.9.198.144:45422",true
"125.40.151.239:46498",true
"k.08jj.ru",true
"n.w30g.ru",true
"42.225.228.70:59826",true
"42.57.52.240:55434",true
"175.168.211.99:54132",true
"120.28.219.231:48256",true
"qk2.4m99.ru",true
"42.224.119.128:48404",true
"gl.w30g.ru",true
"in.ditchibuprofen.com",true
"123.4.233.99:46762",true
"222.142.245.234:38683",true
"u5.4m99.ru",true
"lv.w30g.ru",true
"qz.w30g.ru",true
"182.124.161.12:36628",true
"222.139.43.96:51424",true
"zd.w20s.ru",true
"r.4m99.ru",true
"115.50.47.233:47913",true
"125.47.226.223:46729",true
